,i,start_time,gt_desc,inc_rfq_raw,inc_rfq,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,,miscellaneous,confidence,original_text
0,418,730.6671746,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB","3"" X 4"" Sch. Std Wall Concentric Reducer A234 Fr. WPB","3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB",fitting,concentric_reducer,3.0,4.0,,carbon_steel,A234,WPB,,standard,,,,,,,0.9,"3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB"
1,912,735.859633,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N","11100566-FLG,WN,RF,12,150#,XH-SA-105N","11100566-FLG,WN,RF,12,150 ,XH-SA-105N",flange,weld_neck,12.0,,,carbon_steel,A105,N,150,XH,,,raised_face,,,,1.0,"11100566-FLG,WN,RF,12,150 ,XH-SA-105N"
2,494,739.2727576,"4"" S-10 LR 90° WELD ELL, SA403-WP304L","H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403","H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403",fitting,45_degree_long_radius_elbow,4.0,,,stainless_steel,ASTM A403,S10S,,,,welded,,butt_weld,,,0.9,"H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403"
3,1008,742.7782179,"10"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP","10-150-FLG,WN,RF,10,150#,STD-SA-105","10-150-FLG,WN,RF,10,150 ,STD-SA-105",flange,weld_neck,10.0,,,carbon_steel,A105,,150,standard,,,raised_face,,,,0.9,"10-150-FLG,WN,RF,10,150 ,STD-SA-105"
4,1134,747.8901428,"1"" 150# RF SOCKET WELD FLANGE XH BORE, SA105","HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N","HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N",flange,slip_on,1.0,,,carbon_steel,A105,N,150,XS,,,raised_face,socket_weld,,,0.9,"HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N"
5,210,751.2731745,"6"" x 5"" S-160 CONCENTRIC WELD REDUCER, SA234-WPB","CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB","CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB",fitting,concentric_reducer,6.0,5.0,,carbon_steel,SA-234,WPB,,160,160,,,,,,0.9,"CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB"
6,386,755.7061239,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE","4-XX106B-PIPE,SMLS,4,XXH-SA-106B","4-XX106B-PIPE,SMLS,4,XXH-SA-106B",pipe,seamless_pipe,4.0,,,carbon_steel,A106,B,,XXH,,seamless,,,,,0.9,"4-XX106B-PIPE,SMLS,4,XXH-SA-106B"
7,400,759.7012326,"4"" XH LR 45° WELD ELL, SA234-WPB","4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB","4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB",fitting,long_radius_45_elbow,4.0,,,carbon_steel,SA-234,WPB,,XH,,,,,,,0.9,"4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB"
8,84,763.2192689,"8"" S-60 .406W BLK SA106-B SEAMLESS PIPE","12700629-PIPE,SMLS,8,S60","12700629-PIPE,SMLS,8,S60",pipe,seamless_pipe,8.0,,,,,,,60,,smls,,,,,0.8,"12700629-PIPE,SMLS,8,S60"
9,206,768.8720272,"6"" x 5"" XX CONCENTRIC WELD REDUCER, SA234-WPB","CONC RED,6X5,XXH-MATL: SA-234-WPB","CONC RED,6X5,XXH-MATL: SA-234-WPB",fitting,concentric_reducer,6.0,5.0,,carbon_steel,SA-234,WPB,,XXH,XXH,,,,,,0.9,"CONC RED,6X5,XXH-MATL: SA-234-WPB"
