Customer's Inbound RFQ Description,Selected Part Number,Descrip from Prod Cat,Product Code,Description,Category_GT,Type_GT,Primary Size_GT,Reducing Size_GT,Length_GT,Material Name_GT,Material Specification_GT,Material Grade_GT,Pressure Class_GT,Primary Schedule_GT,Reducing Schedule_GT,Manufacturing Process_GT,End Finish_GT,End Connections_GT,Trim_GT,Miscellaneous_GT,confidence_GT,original_text_GT,Primary Wall_GT,Reducing Wall_GT,Wall Thickness_GT,max_GT,od_GT,id_GT,wall_GT,i,START_TIME_RFQ,gt_desc,inc_rfq_raw,inc_rfq,CATEGORY_RFQ,TYPE_RFQ,PRIMARY_SIZE_RFQ,REDUCING_SIZE_RFQ,LENGTH_RFQ,MATERIAL_NAME_RFQ,MATERIAL_SPECIFICATION_RFQ,MATERIAL_GRADE_RFQ,PRESSURE_CLASS_RFQ,PRIMARY_SCHEDULE_RFQ,REDUCING_SCHEDULE_RFQ,MANUFACTURING_PROCESS_RFQ,END_FINISH_RFQ,END_CONNECTIONS_RFQ,,MISCELLANEOUS_RFQ,CONFIDENCE_RFQ,ORIGINAL_TEXT_RFQ
"3"" X 4"" Sch. Std Wall Concentric Reducer A234 Fr. WPB",KWCO040030SSKB,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB",KWCO040030SSKB,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB",FITTING,CONCENTRIC REDUCER,4.0,3,,CARBON STEEL,SA234,WPB,,STANDARD,,WELD,,,,,0.9,4\\ x 3\\ STD CONCENTRIC WELD REDUCER SA234-WPB,,,,,,,,418,730.6671746,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB","3"" X 4"" Sch. Std Wall Concentric Reducer A234 Fr. WPB","3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB",fitting,concentric_reducer,3.0,4.0,,carbon_steel,A234,WPB,,standard,,,,,,,0.9,"3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB"
"11100566-FLG,WN,RF,12,150#,XH-SA-105N",IFWN011201XNA,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N",IFWN011201XNA,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N",FLANGE,WELD NECK,12.0,,,CARBON STEEL,A105,N,150,XH,,,RAISED FACE,,,,0.9,12\\ 150# RF WELD NECK FLANGE XH BORE SA105N,,,,,,,,912,735.859633,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N","11100566-FLG,WN,RF,12,150#,XH-SA-105N","11100566-FLG,WN,RF,12,150 ,XH-SA-105N",flange,weld_neck,12.0,,,carbon_steel,A105,N,150,XH,,,raised_face,,,,1.0,"11100566-FLG,WN,RF,12,150 ,XH-SA-105N"
"H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403",IWL9404001,"4"" S-10 LR 90° WELD ELL, SA403-WP304L",IWL9404001,"4"" S-10 LR 90° WELD ELL, SA403-WP304L",FITTING,ELBOW 90 LONG RADIUS,4.0,,,STAINLESS STEEL,A403,WP304L,,10,,WELDED,,BUTT WELD,,,0.9,4\\ S-10 LR 90° WELD ELL SA403-WP304L,,,,,,,,494,739.2727576,"4"" S-10 LR 90° WELD ELL, SA403-WP304L","H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403","H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403",fitting,45_degree_long_radius_elbow,4.0,,,stainless_steel,ASTM A403,S10S,,,,welded,,butt_weld,,,0.9,"H29984 ELBOW,4"",45-WELDED,LR,BW,S10S,ASTM A403"
"10-150-FLG,WN,RF,10,150#,STD-SA-105",FWN011001S,"10"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP",FWN011001S,"10"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP",FLANGE,WELD NECK,10.0,,,CARBON STEEL,A105,N,150,STD,,,RAISED FACE,,,FGP,0.9,10\\ 150# RF WELD NECK FLANGE STD BORE SA105N-FGP,,,,,,,,1008,742.7782179,"10"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP","10-150-FLG,WN,RF,10,150#,STD-SA-105","10-150-FLG,WN,RF,10,150 ,STD-SA-105",flange,weld_neck,10.0,,,carbon_steel,A105,,150,standard,,,raised_face,,,,0.9,"10-150-FLG,WN,RF,10,150 ,STD-SA-105"
"HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N",IFSW010101X,"1"" 150# RF SOCKET WELD FLANGE XH BORE, SA105",IFSW010101X,"1"" 150# RF SOCKET WELD FLANGE XH BORE, SA105",FLANGE,SOCKET WELD,1.0,,,CARBON STEEL,A105,,150,EXTRA HEAVY,,,RAISED FACE,SOCKET WELD,,XH BORE,0.9,1\\ 150# RF SOCKET WELD FLANGE XH BORE SA105,,,,,,,,1134,747.8901428,"1"" 150# RF SOCKET WELD FLANGE XH BORE, SA105","HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N","HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N",flange,slip_on,1.0,,,carbon_steel,A105,N,150,XS,,,raised_face,socket_weld,,,0.9,"HB5023 FL1,150,SW,RF,SCHXS,ASTM A105N"
"CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB",KWCO06005016,"6"" x 5"" S-160 CONCENTRIC WELD REDUCER, SA234-WPB",KWCO06005016,"6"" x 5"" S-160 CONCENTRIC WELD REDUCER, SA234-WPB",FITTING,CONCENTRIC REDUCER,6.0,5,,CARBON STEEL,SA234,WPB,,160,160,WELD,,,,,0.9,6\\ x 5\\ S-160 CONCENTRIC WELD REDUCER SA234-WPB,,,,,,,,210,751.2731745,"6"" x 5"" S-160 CONCENTRIC WELD REDUCER, SA234-WPB","CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB","CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB",fitting,concentric_reducer,6.0,5.0,,carbon_steel,SA-234,WPB,,160,160,,,,,,0.9,"CONC RED,6X5,S160-CONC RED,6X5,S160-SA-234-WPB"
"4-XX106B-PIPE,SMLS,4,XXH-SA-106B",IPA040XX,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE",IPA040XX,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS PIPE,4.0,,,CARBON STEEL,A106,B,,XXH,,SEAMLESS,BLACK,,,.674W,0.9,4\\ XXH .674W BLK SA106-B SEAMLESS PIPE,,,,,,,,386,755.7061239,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE","4-XX106B-PIPE,SMLS,4,XXH-SA-106B","4-XX106B-PIPE,SMLS,4,XXH-SA-106B",pipe,seamless_pipe,4.0,,,carbon_steel,A106,B,,XXH,,seamless,,,,,0.9,"4-XX106B-PIPE,SMLS,4,XXH-SA-106B"
"4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB",IWL4040XTM,"4"" XH LR 45° WELD ELL, SA234-WPB",IWL4040XTM,"4"" XH LR 45° WELD ELL, SA234-WPB",FITTING,LONG RADIUS 45 ELBOW,4.0,,,CARBON STEEL,SA234,WPB,,EXTRA HEAVY,,,WELD,BUTT WELD,,,0.9,4\\ XH LR 45° WELD ELL SA234-WPB,,,,,,,,400,759.7012326,"4"" XH LR 45° WELD ELL, SA234-WPB","4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB","4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB",fitting,long_radius_45_elbow,4.0,,,carbon_steel,SA-234,WPB,,XH,,,,,,,0.9,"4-LR45X-ELBOW,LR45,4,XH (S80)-SA-234-WPB"
"12700629-PIPE,SMLS,8,S60",PA08006,"8"" S-60 .406W BLK SA106-B SEAMLESS PIPE",PA08006,"8"" S-60 .406W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,8.0,,,CARBON STEEL,A106,B,,S-60,,SEAMLESS,BLK,,,.406W,0.9,8\\ S-60 .406W BLK SA106-B SEAMLESS PIPE,,,,,,,,84,763.2192689,"8"" S-60 .406W BLK SA106-B SEAMLESS PIPE","12700629-PIPE,SMLS,8,S60","12700629-PIPE,SMLS,8,S60",pipe,seamless_pipe,8.0,,,,,,,60,,smls,,,,,0.8,"12700629-PIPE,SMLS,8,S60"
"CONC RED,6X5,XXH-MATL: SA-234-WPB",KWCO060050XX,"6"" x 5"" XX CONCENTRIC WELD REDUCER, SA234-WPB",KWCO060050XX,"6"" x 5"" XX CONCENTRIC WELD REDUCER, SA234-WPB",FITTING,CONCENTRIC REDUCER,6.0,5,,CARBON STEEL,SA234,WPB,,XXS,,WELD,,,,,0.9,6\\ x 5\\ XX CONCENTRIC WELD REDUCER SA234-WPB,,,,,,,,206,768.8720272,"6"" x 5"" XX CONCENTRIC WELD REDUCER, SA234-WPB","CONC RED,6X5,XXH-MATL: SA-234-WPB","CONC RED,6X5,XXH-MATL: SA-234-WPB",fitting,concentric_reducer,6.0,5.0,,carbon_steel,SA-234,WPB,,XXH,XXH,,,,,,0.9,"CONC RED,6X5,XXH-MATL: SA-234-WPB"
