,UNNAMED 0,I,START_TIME,GT_DESC,INC_RFQ_RAW,INC_RFQ,CATEGORY,TYPE,PRIMARY_SIZE,REDUCING_SIZE,LENGTH,MATERIAL_NAME,MATERIAL_SPECIFICATION,MATERIAL_GRADE,PRESSURE_CLASS,PRIMARY_SCHEDULE,REDUCING_SCHEDULE,MANUFACTURING_PROCESS,END_FINISH,END_CONNECTIONS,UNNAMED 20,MISCELLANEOUS,CONFIDENCE,ORIGINAL_TEXT,INDEX,RANK,QUALITY
0,0,0,718.456028,"1"" 150 SOCKETWELD FLANGE A105 CARBON STEEL SCHEDULE XH RAISED FACE","FLANGE, PIPE, SOCKET WELD, RF FACE, 1"", 150 LB, SCH 80/XH, CRB STL, SA105N","FLANGE, PIPE, SOCKET WELD, RF FACE, 1"", 150 LB, SCH 80/XH, CRB STL, SA105N",FLANGE,SOCKET WELD,1.0,,,CARBON STEEL,A105,N,150.0,80,NAN,NAN,RAISED FACE,SOCKET WELD,NAN,NAN,1.0,"FLANGE, PIPE, SOCKET WELD, RF FACE, 1"", 150 LB, SCH 80/XH, CRB STL, SA105N",0,2,EXCELLENT
1,1,1,721.8794447,14 STAINLESS STEEL SCHEDULE 10S .188 304L LONG RADIUS 45 ELBOW WPW,"14 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S","14 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S",FITTING,LR 45 ELBOW,14.0,,,STAINLESS STEEL,A403,WP304/WP304L,,10S,NAN,W,BEVELED,BW,NAN,ASME B16.9,0.9,"14 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S",1,0,EXCELLENT
2,2,2,725.5179119,18 150 WRI 316 FG 316 IR GASKET *Z,"GASKET, 18 150 WRI 316 FG 316 IR GSKT","GASKET, 18 150 WRI 316 FG 316 IR GSKT",GASKET,SPIRAL WOUND,18.0,,,STAINLESS STEEL,NAN,316,150.0,NAN,NAN,NAN,NAN,NAN,316,INNER RING,0.9,"GASKET, 18 150 WRI 316 FG 316 IR GSKT",2,2,EXCELLENT
3,3,3,728.752895,8 X 4 STAINLESS STEEL SCHEDULE 10 304L ECCENTRIC REDUCER,"8X4 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S","8X4 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S",FITTING,ECCENTRIC REDUCER,8.0,4.0,,STAINLESS STEEL,A403,WP304/WP304L,,10S,10S,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"8X4 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S",3,0,EXCELLENT
4,4,4,732.3108104,16 STAINLESS STEEL SCHEDULE 10S .188 316L CAP WPS,"16 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE W S-10S","16 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE W S-10S",FITTING,CAP,16.0,,,STAINLESS STEEL,A403,WP316/WP316L,,10S,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"4 16 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE W S-10S",4,2,EXCELLENT
5,5,5,736.6991133,3 FORGED STEEL 3000 THREADED STEEL STEEL UNION,"UNION, PIPE, 3"", THREADED, 3000 LB, CARBON STEEL, ASTM A105","UNION, PIPE, 3"", THREADED, 3000 LB, CARBON STEEL, ASTM A105",FITTING,UNION,3.0,,,CARBON STEEL,A105,NAN,3000.0,NAN,NAN,NAN,NAN,THREADED,NAN,NAN,0.9,"5. UNION, PIPE, 3"", THREADED, 3000 LB, CARBON STEEL, ASTM A105",5,3,EXCELLENT
6,6,6,739.8350426,10 CARBON STEEL WPL6 STANDARD WELD LONG RADIUS 90 ELBOW,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,90 DEGREE LONG RADIUS ELBOW,10.0,,,LOW TEMPERATURE CARBON STEEL,A420,WPL6,,STANDARD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",6,0,EXCELLENT
7,7,7,743.5119332,16 BLACK PLAIN END A106B STANDARD SEAMLESS DRL PIPE,"16 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SEAMLESS S-STD","16 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SEAMLESS S-STD",PIPE,SEAMLESS,16.0,,,CARBON STEEL,A106,B,,STANDARD,NAN,SEAMLESS,BEVELED,NAN,NAN,ASME B36.10,0.9,"16 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SEAMLESS S-STD",7,1,EXCELLENT
8,8,8,746.6619923,4 X 3 CARBON STEEL WPL6 STANDARD WELD ECCENTRIC REDUCER,"4X3 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","4X3 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,ECCENTRIC REDUCER,4.0,3.0,,CARBON STEEL,A420,WPL6,,STD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"4X3 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",8,0,EXCELLENT
9,9,9,750.3562233,1 X 6 BLACK SCHEDULE XH SEAMLESS A106 NIPPLE,"NIPPLE,1 X 6 S/80 A106B","NIPPLE,1 X 6 S/80 A106B",PIPE,NIPPLE,1.0,,6.0,CARBON STEEL,A106,B,,80,NAN,NAN,NAN,NAN,NAN,NAN,0.9,"NIPPLE,1 X 6 S/80 A106B",9,2,EXCELLENT
