Unnamed: 0,Description,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence
0,6 PTFE 2 Conversion Expand JT *X,gasket,expansion joint,2,,,PTFE,,,6,,,,,,,CONVERSION,0.8
1,2 Cast Iron SERIES 25 MAIN Valve S25K,valve,MAIN VALVE,2,,,CAST IRON,,,25,,,CAST,,,,S25K,0.8
2,2-1/2 1/4LM 0-30 LFI Gauge,valve,gauge,2 1/2, 1/4,,,,,30,,,,,lower mount,,LFI,0.8
3,10 X 8 Painted Grooved Concentric Reducer 50,fitting,CONCENTRIC REDUCER,10,8    ,,,,,50,,,,PAINTED,GROOVED,,,0.85
4,12 X 10 Painted Grooved Concentric Reducer 50,fitting,CONCENTRIC REDUCER,12,10    ,,,,,50,,,,GROOVED,,,PAINTED,0.8
5,12 X 8 Galvanized Grooved Concentric Reducer 50,fitting,CONCENTRIC REDUCER,12,8    ,,,,,50,,,,GALVANIZED,GROOVED,,,0.85
6,4 X 1 Painted Grooved Concentric Reducer 50,fitting,CONCENTRIC REDUCER,4,1    ,,,,,50,,,,PAINTED,GROOVED,,,0.8
7,4 X 2-1/2 Galvanized Grooved Concentric Reducer 50,fitting,CONCENTRIC REDUCER,4,2 1/2,,,,,50,,,,GALVANIZED,GROOVED,,,0.85
8,8 X 6 Galvanized Grooved Concentric Reducer 50,fitting,CONCENTRIC REDUCER,8,6    ,,,,,50,,,,GALVANIZED,GROOVED,,,0.8
9,12 IPS SDR17 PC63 HDPE Wye Fabricated,fitting,WYE,12,,,HDPE,,,63,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
10,20 IPS SDR17 PC63 HDPE Wye Fabricated,fitting,WYE,20,,,HDPE,,,63,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.9
11,1/2 70 SERIES Handle,valve,handle,1/2,,,,,,70,,,,,,,series,0.6
12,Not For Potable Use Valve Relief 1 75PSI Bronze,valve,relief,1,,,bronze,,,75,,,,,,,not for potable use,0.8
13,1 Painted Grooved Coupling E Gasket 75,fitting,COUPLING,1,,,,,,75,,,,PAINTED,GROOVED,,E GASKET,0.85
14,4 Painted Grooved Coupling With E Gasket 75,fitting,GROOVED COUPLING,4,,,,,,75,,,,PAINTED,GROOVED,,WITH E GASKET,0.85
15,1-1/2 75# Floor & Table Steam Trap,valve,steam_trap,1 1/2,,,,,,75,,,,,,,floor & table,0.8
16,8 IPS SDR17 PC80 HDPE 45 Fabricated 2 Piece,fitting,45 DEGREE ELBOW,8,,,HDPE,,,80,SDR17,,FABRICATED,,,,2-PIECE,0.85
17,3 IPS SDR17 PC80 11-1/4 Elbow Fabricated 2 Piece,fitting,ELBOW,3,,,IRON,,,80,SDR17,,FABRICATED,,,,2-PIECE,0.8
18,12 IPS SDR17 PC80 22 1/2 Fabricated,pipe,fabricated pipe,12,,22.5,iron,,,80,SDR17,,fabricated,,,,,0.85
19,4 IPS SDR17 PC80 11-1/4 Elbow Fabricated 2 Piece,fitting,ELBOW,4,,,,,,80,SDR17,,FABRICATED,,,,2-PIECE,0.8
20,48 IPS SDR17 PC90 Fabricated Tee,fitting,TEE,48,,,,,,90,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
21,6 Galvanized Grooved LR 90 Elbow 100,fitting,LR 90 DEGREE ELBOW,6,,,GALVANIZED,,,100,,,,GROOVED,,,,0.8
22,12 IPS SDR17 PC100 HDPE 90 Elbow 3 Piece,fitting,90 DEGREE ELBOW,12,,,HDPE,,,100,SDR17,,,,,,3-PIECE,0.9
23,10 IPS SDR17 PC100 HDPE Cap Fabricated,fitting,CAP,10,,,HDPE,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.9
24,18 IPS SDR17 PC100 HDPE Cap Fabricated,fitting,CAP,18,,,HDPE,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
25,24 IPS SDR17 PC100 HDPE Cap Fabricated,fitting,CAP,24,,,HDPE,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.9
26,2 X 500 IPS SDR17 HDPE Pipe 100#,pipe,pipe,2,,500,HDPE,IPS,,100,SDR17,,,,,,,0.9
