Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,356AL,356 ALUMINUM,356 ALUM,356-A,356 ALLOY,AL,ALU,ALM,ALUM,ALU MINUM,AL MINUM,AL MIN,A LUMINUM,ALUMNUM,ALLUMINUM,ALUMNIUM,ALUMNM,AL-M,A.L.,ALU.,AL-MN,ALUM PIECE,ALUMIN UNIT,ALU ITEM,ALUM-METAL,ALUMINUM,,,,,,,,,,,,,,,,,,,,,,,,,
6061-T6,6061T6,6061 T6,6061-T 6,6061-T6,ALUMINUM 6061 T6,AL,ALU,ALM,ALUM,ALU MINUM,AL MINUM,AL MIN,A LUMINUM,ALUMNUM,ALLUMINUM,ALUMNIUM,ALUMNM,AL-M,A.L.,ALU.,AL-MN,ALUM PIECE,ALUMIN UNIT,ALU ITEM,ALUM-METAL,ALUMINUM,,,,,,,,,,,,,,,,,,,,,,,,,
A,A,A,A,A,GRADE A,GR A,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,
A55CL12,A55CL12,A55 CL 12,A55 CL12,A55-12,GRADE A55 CLASS 12,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
A55CL13,A55CL13,A55 CL 13,A55 CL13,A55-13,GRADE A55 CLASS 13,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B,GRADE B,B,B,B,GRADE B,GR B,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,
B60CL12,B60CL12,B60 CL 12,B60CL 12,B60-12,GRADE B60 CLASS 12,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B60CL13,B60CL13,B60 CL 13,B60CL 13,B60-13,GRADE B60 CLASS 13,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B60CL22,B60CL22,B60 CL 22,B60CL 22,B60-22,GRADE B60 CLASS 22,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B60CL32,B60CL32,B60 CL 32,B60CL 32,B60-32,GRADE B60 CLASS 32,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B65CL22,B65CL22,B65 CL 22,B65CL 22,B65-22,GRADE B65 CLASS 22,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B65CL32,B65CL32,B65 CL 32,B65CL 32,B65-32,GRADE B65 CLASS 32,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B6X42,B6X42,B6 X 42,B6 X42,B6-X42,GRADE B6X42,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B7,B7,B 7,B-7,B-7,ALLOY B7,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
B7-2H,B7-2H,B7 2H,B7-2 H,B7-2H,ALLOY B7-2H,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,
BC,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC16X42,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC6X42,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC6X52,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCX42,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX42,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX42X46,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX42X52,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX46X52,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX52,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX60,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C60CL11,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C60CL12,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C60CL13,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
