IDX,COMMON_PVFF_CROSSOVERS_IDL_REF,NOTES,POPULAR,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
1,END CONN,,PBE,PLAIN BOTH ENDS,,,,,,,,,,,,,,,,,,
2,END CONN,,BE,BEVEL END,BEVELED ENDS,,,,,,,,,,,,,,,,,
3,END CONN,,BExPE,BEVEL END x PLAIN END,,,,,,,,,,,,,,,,,,
4,END CONN,,BW ,BUTT WELD,BUTTWELD,BUTT-WELD,,,,,,,,,,,,,,,,
5,END CONN,,FF,FLAT FACE,FLATFACE,,,,,,,,,,,,,,,,,
6,END CONN,,FNPT,FPT,Female NPT,FT,FEMALE THREADED,Female Threaded End,F/T,,,,,,,,,,,,,
7,END CONN,,FSW,FEMALE SOCKETWELD,FEMALE SOCKET WELD,,,,,,,,,,,,,,,,,
8,END CONN,,GRVD,GRV,GROOVED,GROOVED END,,,,,,,,,,,,,,,,
9,END CONN,,MNPT,MPT,Male NPT,MT,MALE THREADED,Male Threaded End,M/T,MPT,,,,,,,,,,,,
10,END CONN,,MSW,MALE SOCKETWELD,MALE SOCKET WELD,,,,,,,,,,,,,,,,,
11,END CONN,,PE,PLAIN ENDS,PLAIN END,,,,,,,,,,,,,,,,,
12,END CONN,,RF,RAISED FACE,RF FLG,RAISED FACE FLG,,,,,,,,,,,,,,,,
13,END CONN,,RTJ,RING TYPE JOINT,RING JOINT,RJ,,,,,,,,,,,,,,,,
14,END CONN,join words in output = SOCKETWELD,SW,SOCKETWELD,SOCKET WELD,SWE,S/W,SOCKETWELD END,SOC,,,,,,,,,,,,,
15,END CONN,,TBE,THREADED BOTH ENDS,,,,,,,,,,,,,,,,,,
16,END CONN,,TOE,THREADED ONE END,,,,,,,,,,,,,,,,,,
17,END CONN,,NPT,THD ,THREADED,THRD,Nominal Pipe Thread,,,,,,,,,,,,,,,
18,TYPE,,FLG,FLANGE,,,,,,,,,,,,,,,,,,
19,GENERAL,,BSP,British Standard Pipe,,,,,,,,,,,,,,,,,,
20,GENERAL,,DP,Differential Pressure ,,,,,,,,,,,,,,,,,,
21,GENERAL,,HP,High Pressure ,,,,,,,,,,,,,,,,,,
22,GENERAL,,ID,Inside Diameter ,,,,,,,,,,,,,,,,,,
23,GENERAL,,IPS,Iron Pipe Size ,,,,,,,,,,,,,,,,,,
24,GENERAL,,IPT,Iron Pipe Thread,,,,,,,,,,,,,,,,,,
25,GENERAL,,LP,Low Pressure ,,,,,,,,,,,,,,,,,,
26,GENERAL,,MOP,MAX OPERATING PRESSURE,Maximum Operating Pressure,,,,,,,,,,,,,,,,,
27,GENERAL,,MP,Medium Pressure ,,,,,,,,,,,,,,,,,,
28,GENERAL,,NB,Nominal Bore ,,,,,,,,,,,,,,,,,,
29,GENERAL,,NPS,Nominal Pipe Size ,,,,,,,,,,,,,,,,,,
30,GENERAL,,OD,Outside Diameter ,,,,,,,,,,,,,,,,,,
31,GENERAL,,SCH,SCHEDULE,,,,,,,,,,,,,,,,,,
32,GENERAL,,SIL,Safety Integrity Level ,,,,,,,,,,,,,,,,,,
33,GENERAL,,WOG ,WATER OIL GAS,,,,,,,,,,,,,,,,,,
34,GENERAL,,WP,Working Pressure ,,,,,,,,,,,,,,,,,,
35,MATERIAL,,CS,Carbon Steel ,,,,,,,,,,,,,,,,,,
36,MATERIAL,,DI,Ductile Iron ,D.I.,,,,,,,,,,,,,,,,,
37,MATERIAL,,HDPE,High-Density Polyethylene ,,,,,,,,,,,,,,,,,,
38,MATERIAL,,LTCS,Low Temperature Carbon Steel ,,,,,,,,,,,,,,,,,,
39,MATERIAL,,PVC,Polyvinyl Chloride ,,,,,,,,,,,,,,,,,,
40,MATERIAL,,SS,Stainless Steel ,,,,,,,,,,,,,,,,,,
41,MATERIAL,,WPHY,Weldable High Yield ,,,,,,,,,,,,,,,,,,
42,MATERIAL,,CS,CARBON STEEL,A216 WCB,WCB,A105,A106,A53,A234,A106-B,A53-B,A234-WPB,A216 WCC,WCC,,,,,,,
43,MATERIAL,,SS,STAINLESS STEEL,316,CF8M,A182,317,347,304,310,A403,A276,F304,F316,WP304,WP316,CF8,CA15,CF3M,CF8C,CF3
44,MATERIAL,,LTCS,LOW TEMP CARBON STEEL,LCC,A333,A420,A350 LF2,LF2,A333-6,WPL6,A352,A352 LCB,A352 LCC,,,,,,,,
45,MATERIAL,,LTSS,LOW TEMP STAINLESS STEEL,A312,F340L,304/L,F316L,316/L,321,WP304L,WP316L,CF3M,316L,304L,,,,,,,
46,ORG,,API,American Petroleum Institute ,,,,,,,,,,,,,,,,,,
47,ORG,,ASME,American Society of Mechanical Engineers ,,,,,,,,,,,,,,,,,,
48,PORT,,RP,RB,REDUCED PORT,REDUCED BORE,RED PORT,RED BORE,REG BORE,REG PORT,REGULAR BORE,REGULAR PORT,,,,,,,,,,
49,PORT,,FB,FP,FULL BORE,FULL PORT,,,,,,,,,,,,,,,,
50,PRESSURE,,CL 300,CL300,CLASS 300,PN 50,50 BAR,,,,,,,,,,,,,,,
51,PRESSURE,,CL,CLASS,,,,,,,,,,,,,,,,,,
52,PRESSURE,,CL 150,CL150,CLASS 150,PN 20,20 BAR,,,,,,,,,,,,,,,
53,PRESSURE,,CL 1500,CL1500,CLASS 1500,PN 250,420 BAR,,,,,,,,,,,,,,,
54,PRESSURE,,CL 2500,CL2500,CLASS 2500,PN 420,690 BAR,,,,,,,,,,,,,,,
55,PRESSURE,,CL 400,CL400,CLASS 400,PN 64,110 BAR,,,,,,,,,,,,,,,
56,PRESSURE,,CL 4000,CL4000,CLASS 4000,PN 690,1000 BAR,,,,,,,,,,,,,,,
57,PRESSURE,,CL 4500,CL4500,CLASS 4500,PN 750,1200 BAR,,,,,,,,,,,,,,,
58,PRESSURE,,CL 600,CL600,CLASS 600,PN 100,150 BAR,,,,,,,,,,,,,,,
59,PRESSURE,,CL 800,CL800,CLASS 800,PN 140,200 BAR,,,,,,,,,,,,,,,
60,PRESSURE,,CL 900,CL900,CLASS 900,PN 150,250 BAR,,,,,,,,,,,,,,,
61,SCHEDULE (ALWAYS),,SCH 80,SCHEDULE 80,S/80,SH. 80,S80,S-80,,,,,,,,,,,,,,
62,SCHEDULE (ALWAYS),,SCH 10,SCHEDULE 10,S/10,SH. 10,S10,S-10,,,,,,,,,,,,,,
63,SCHEDULE (ALWAYS),,SCH 60,SCHEDULE 60,S/60,SH. 60,S60,S-60,,,,,,,,,,,,,,
64,SCHEDULE (ALWAYS),,SCH 120,SCHEDULE 120,S/120,SH. 120,S120,S-120,,,,,,,,,,,,,,
65,SCHEDULE (ALWAYS),,SCH 160,SCHEDULE 160,S/160,SH. 160,S160,S-160,,,,,,,,,,,,,,
66,SCHEDULE (ALWAYS),,SCH 40,SCHEDULE 40,S/40,SH. 40,S40,S-40,,,,,,,,,,,,,,
67,SCHEDULE (ALWAYS),,SCH 10S,S/10S,S10S,SCHEDULE 10S,SH. 10S,S-10S,,,,,,,,,,,,,,
68,SCHEDULE (ALWAYS),,SCH XH,SCH XS,,,,,,,,,,,,,,,,,,
69,SCHEDULE (ALWAYS),,SCH 80S,S/80S,S80S,SCHEDULE 80S,SCH XH,SCHEDULE EXTRA HEAVY,S/XH,EXTRA HEAVY,SCH EXTRA HEAVY,SCH XS,XS,Extra Strong,,,,,,,,
70,SCHEDULE (ALWAYS),,SCH STD,SCHEDULE STANDARD,S/STD,SCH 40S,SCHEDULE 40S,S/40S,,,,,,,,,,,,,,
71,SCHEDULE (ALWAYS),,SCH XXH,XXH,Extra Extra Heavy,Double Extra Heavy ,,,,,,,,,,,,,,,,
72,SCHEDULE (DEPEND.ON SIZES),,SCH 10 = SCH 10S,"ONLY SIZES 1/8"" TO 12""",,,,,,,,,,,,,,,,,,
73,SCHEDULE (DEPEND.ON SIZES),,SCH STD = SCH 40,"ONLY SIZES 1/8"" TO 10""",,,,,,,,,,,,,,,,,,
74,SCHEDULE (DEPEND.ON SIZES),,SCH XH = SCH 80,"ONLY SIZES 1/8"" TO 8""",,,,,,,,,,,,,,,,,,
75,SCHEDULE (DEPEND.ON SIZES),,SCH 5 = SCH 5S,"ONLY SIZES 1/8"" TO 10""",,,,,,,,,,,,,,,,,,
76,SCHEDULE (DEPEND.ON SIZES),,SCH 40 = SCH 40S,"ONLY SIZES 1/8"" TO 10""",,,,,,,,,,,,,,,,,,
77,SCHEDULE (DEPEND.ON SIZES),,SCH 80 = SCH 80S,"ONLY SIZES 1/8"" TO 8""",,,,,,,,,,,,,,,,,,
78,SIZE,,0.0625,1/16,,,,,,,,,,,,,,,,,,
79,SIZE,,0.125,1/8,,,,,,,,,,,,,,,,,,
80,SIZE,,0.1875,3/16,,,,,,,,,,,,,,,,,,
81,SIZE,,0.25,1/4,,,,,,,,,,,,,,,,,,
82,SIZE,,0.3125,5/16,,,,,,,,,,,,,,,,,,
83,SIZE,,0.375,3/8,,,,,,,,,,,,,,,,,,
84,SIZE,,0.4375,7/16,,,,,,,,,,,,,,,,,,
85,SIZE,,0.5,1/2,,,,,,,,,,,,,,,,,,
86,SIZE,,0.5625,9/16,,,,,,,,,,,,,,,,,,
87,SIZE,,0.625,5/8,,,,,,,,,,,,,,,,,,
88,SIZE,,0.6875,11/16,,,,,,,,,,,,,,,,,,
89,SIZE,,0.75,3/4,,,,,,,,,,,,,,,,,,
90,SIZE,,0.8125,13/16,,,,,,,,,,,,,,,,,,
91,SIZE,,0.875,7/8,,,,,,,,,,,,,,,,,,
92,SIZE,,0.9375,15/16,,,,,,,,,,,,,,,,,,
93,SIZE,,1.0625,1-1/16,,,,,,,,,,,,,,,,,,
94,SIZE,,1.125,1-1/8,,,,,,,,,,,,,,,,,,
95,SIZE,,1.1875,1-3/16,,,,,,,,,,,,,,,,,,
96,SIZE,,1.25,1-1/4,,,,,,,,,,,,,,,,,,
97,SIZE,,1.3125,1-5/16,,,,,,,,,,,,,,,,,,
98,SIZE,,1.375,1-3/8,,,,,,,,,,,,,,,,,,
99,SIZE,,1.4375,1-7/16,,,,,,,,,,,,,,,,,,
100,SIZE,,1.5,1-1/2,,,,,,,,,,,,,,,,,,
101,SIZE,,1.5625,1-9/16,,,,,,,,,,,,,,,,,,
102,SIZE,,1.625,1-5/8,,,,,,,,,,,,,,,,,,
103,SIZE,,1.6875,1-11/16,,,,,,,,,,,,,,,,,,
104,SIZE,,1.75,1-3/4,,,,,,,,,,,,,,,,,,
105,SIZE,,1.8125,1-13/16,,,,,,,,,,,,,,,,,,
106,SIZE,,1.875,1-7/8,,,,,,,,,,,,,,,,,,
107,SIZE,,2.0625,2-1/16,,,,,,,,,,,,,,,,,,
108,SIZE,,2.125,2-1/8,,,,,,,,,,,,,,,,,,
109,SIZE,,2.1875,2-3/16,,,,,,,,,,,,,,,,,,
110,SIZE,,2.25,2-1/4,,,,,,,,,,,,,,,,,,
111,SIZE,,2.3125,2-5/16,,,,,,,,,,,,,,,,,,
112,SIZE,,2.375,2-3/8,,,,,,,,,,,,,,,,,,
113,SIZE,,2.4375,2-7/16,,,,,,,,,,,,,,,,,,
114,SIZE,,2.5,2-1/2,,,,,,,,,,,,,,,,,,
115,SIZE,,2.5625,2-9/16,,,,,,,,,,,,,,,,,,
116,SIZE,,2.625,2-5/8,,,,,,,,,,,,,,,,,,
117,SIZE,,2.6875,2-11/16,,,,,,,,,,,,,,,,,,
118,SIZE,,2.75,2-3/4,,,,,,,,,,,,,,,,,,
119,SIZE,,2.875,2-7/8,,,,,,,,,,,,,,,,,,
120,SIZE,,3.0625,3-1/16,,,,,,,,,,,,,,,,,,
121,SIZE,,3.125,3-1/8,,,,,,,,,,,,,,,,,,
122,SIZE,,3.1875,3-3/16,,,,,,,,,,,,,,,,,,
123,SIZE,,3.25,3-1/4,,,,,,,,,,,,,,,,,,
124,SIZE,,3.3125,3-5/16,,,,,,,,,,,,,,,,,,
125,SIZE,,3.375,3-3/8,,,,,,,,,,,,,,,,,,
126,SIZE,,3.5,3-1/2,,,,,,,,,,,,,,,,,,
127,SIZE,,3.625,3-5/8,,,,,,,,,,,,,,,,,,
128,SIZE,,3.6875,3-11/16,,,,,,,,,,,,,,,,,,
129,SIZE,,3.75,3-3/4,,,,,,,,,,,,,,,,,,
130,SIZE,,3.8125,3-13/16,,,,,,,,,,,,,,,,,,
131,SIZE,,3.875,3-7/8,,,,,,,,,,,,,,,,,,
132,SIZE,,3.9375,3-15/16,,,,,,,,,,,,,,,,,,
133,SIZE,,4.0625,4-1/16,,,,,,,,,,,,,,,,,,
134,SIZE,,4.25,4-1/4,,,,,,,,,,,,,,,,,,
135,SIZE,,4.3125,4-5/16,,,,,,,,,,,,,,,,,,
136,SIZE,,4.375,4-3/8,,,,,,,,,,,,,,,,,,
137,SIZE,,4.4375,4-7/16,,,,,,,,,,,,,,,,,,
138,SIZE,,4.5,4-1/2,,,,,,,,,,,,,,,,,,
139,SIZE,,4.5625,4-9/16,,,,,,,,,,,,,,,,,,
140,SIZE,,4.625,4-5/8,,,,,,,,,,,,,,,,,,
141,SIZE,,4.75,4-3/4,,,,,,,,,,,,,,,,,,
142,SIZE,,5.125,5-1/8,,,,,,,,,,,,,,,,,,
143,SIZE,,5.25,5-1/4,,,,,,,,,,,,,,,,,,
144,SIZE,,5.3125,5-5/16,,,,,,,,,,,,,,,,,,
145,SIZE,,5.375,5-3/8,,,,,,,,,,,,,,,,,,
146,SIZE,,5.4375,5-7/16,,,,,,,,,,,,,,,,,,
147,SIZE,,5.5,5-1/2,,,,,,,,,,,,,,,,,,
148,SIZE,,5.5625,5-9/16,,,,,,,,,,,,,,,,,,
149,SIZE,,5.625,5-5/8,,,,,,,,,,,,,,,,,,
150,SIZE,,5.6875,5-11/16,,,,,,,,,,,,,,,,,,
151,SIZE,,5.75,5-3/4,,,,,,,,,,,,,,,,,,
152,SIZE,,6.125,6-1/8,,,,,,,,,,,,,,,,,,
153,SIZE,,6.25,6-1/4,,,,,,,,,,,,,,,,,,
154,SIZE,,6.3125,6-5/16,,,,,,,,,,,,,,,,,,
155,SIZE,,6.375,6-3/8,,,,,,,,,,,,,,,,,,
156,SIZE,,6.4375,6-7/16,,,,,,,,,,,,,,,,,,
157,SIZE,,6.5,6-1/2,,,,,,,,,,,,,,,,,,
158,SIZE,,6.5625,6-9/16,,,,,,,,,,,,,,,,,,
159,SIZE,,6.625,6-5/8,,,,,,,,,,,,,,,,,,
