primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22,permutation_23,permutation_24,permutation_25,permutation_26,permutation_27,permutation_28,permutation_29,permutation_30,permutation_31,permutation_32,permutation_33,permutation_34,permutation_35,permutation_36,permutation_37
CARBON_STEEL,CARBON STEEL,CS,C.S.,CARB STL,CARBON-STL,C S,CARBON STEEL,C-STL,CARB. STL,CARBONSTEEL,CARBON-STEAL,CARN STL,CRBN STL,C-ST,C/S,CAR-ST,C.S.-STL,CARBON STL,CARB STEEL,C STEEL,C STL,,,,,,,,,,,,,,,,
STAINLESS STEEL,SS,S.S.,STL STL,STAIN STL,S S,STAINLESS STEEL,SS STL,STAIN STL,STAINLSS STL,STANLESS STL,STNLSS STL,STINL STL,S/ST,S.S.,STL/STL,STL.S.,STAIN STL,STAINLESS STL,S STL,S.STL,,,,,,,,,,,,,,,,,
ALLOY STEEL,ALLOY_STEEL,AS,A.S.,ALY STL,ALLOY-STL,A S,ALLOY STEEL,AS STL,ALLOY STL,ALOY STL,ALLOYSTL,AL STEL,ALY STLE,A/ST,A.S.,AL/ST,AL.ST.,ALLOY STL,ALY STEEL,A STL,A.STL,,,,,,,,,,,,,,,,
MONEL,MNL,M.L.,MONL,MON-EL,M NL,MO NEL,MON-EL,M O N E L,MONAL,MONLE,MNEL,MONNEL,M-NL,M.L,MO-NL,M.NL,MONELL,MON-EL,MONELL ALLOY,MONNELL,,,,,,,,,,,,,,,,,
INCONEL,INC,INCL,INCN,INCNL,IN CONEL,INC ONEL,IN CNEL,IN CN L,INCONNEL,INCONE L,INCANEL,INNCONEL,IN-CL,INC-L,IN-CN,INC-L.,INCL STL,INCO STEEL,INCO NEL,INC.NEL,,,,,,,,,,,,,,,,,
HASTELLOY,HSTL,HAST,HSTLY,HASL,HAS TELLOY,HAST ELLOY,HAS-TELLOY,HST-LOY,HASTLLOY,HASTLOY,HASTLLY,HASLTLOY,H-STL,HAS-TL,HST-LY,H.TL.,HAST STL,HASTYLOY,HAS STEEL,HSTLLY,,,,,,,,,,,,,,,,,
FORGED STEEL,FS,F.S.,FORG STL,FORG-STEEL,F S,FORGED STEEL,FS STL,FORG STL,FORGD STL,FORGE STEEL,FORJED STEEL,FORG STELE,F-ST,F.S.,FRG-STL,F.ST.,FORG STL,FORG'D STEEL,F STEEL,F STL,,,,,,,,,,,,,,,,,
NICKEL ALLOY,N.A.,NICK ALY,NIC-ALLOY,N A,NICKEL ALLOY,NA ALLOY,NICK ALLOY,NICKLE ALLOY,NICL ALLOY,NICKELALLOY,NIKKEL ALLOY,N-AL,N.ALY,NIC-AL,N.AL.,NIC ALLOY,NICL ALY,N ALLOY,N.ALLOY,,,,,,,,,,,,,,,,,,
ALUMINUM,AL,ALU,ALM,ALUM,ALU MINUM,AL MINUM,AL MIN,A LUMINUM,ALUMNUM,ALLUMINUM,ALUMNIUM,ALUMNM,AL-M,A.L.,ALU.,AL-MN,ALUM PIECE,ALUMIN UNIT,ALU ITEM,ALUM-METAL,,,,,,,,,,,,,,,,,
BRASS,BR,BRS,BSS,BRS.,B RASS,BR ASS,B-RASS,B.RASS,B-RS,B.R.,BRS-METAL,BR-MTL,BR METAL,BRASS UNIT,BRS PIECE,BRASS ITEM,,,,,,,,,,,,,,,,,,,,,
BRONZE,BZ,BRNZ,BRZ,BZ.,BR-NZ,B.Z.,BZ-METAL,BRZ-MTL,BRZ METAL,BRONZE UNIT,BZ PIECE,BRONZE ITEM,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON LOW TEMP,CLT,C.L.T.,CARB LT,C-LT,CARBON LOW-TEMP,CAR BON LOW TEMP,C LOW TEMP,CARBON L.T.,CARBON LOWTEMP,CARBON LOW TMP,CARBON LTEMP,CARB LOWTEMP,CARB LOW TEMP,CARBON LT,C LOW-TEMP,CLT PIECE,,,,,,,,,,,,,,,,,,,,,
CAST IRON,CI,C.I.,CAST IR,C-IRON,CAST IRON,C AST IRON,CAST-IRON,C.IR ON,CASTIRON,CAST IRN,CST IRON,CAST IRONE,C-IR,C.I.,CAST IR.,C-IRON.,C IRON,CI UNIT,CAST IR PIECE,CAST IRON ITEM,,,,,,,,,,,,,,,,,
CHROME,CHROME MOLY,CHR,CHRM,CR,C.H.,CH ROME,CHR OME,CH-OME,C.HROME,CHROM,CRHOME,CHRME,CROME,C-R,CHR-M,CHRM.,C.H.,CHROME UNIT,CHRM PIECE,CHROME ITEM,CR METAL,,,,,,,,,,,,,,,,
COPPER NICKEL,CU-NI,CUNI,CN,CU/N,COPPER NI CKEL,CU NICKEL,CU-NICKEL,C.NICKEL,COPPER NICHEL,CU-NIKEL,COPR NICKEL,COPER NICKLE,CU-NI,CU/N,C.N.,CUNI,CU NI METAL,CU-NI UNIT,COPPER NI PIECE,COPPER NICK ITEM,,,,,,,,,,,,,,,,,
DUCTILE IRON,DI,D.I.,DUCT IR,D-IRON,DUC TILE IRON,DUCT IRON,DUCT-IRON,D.IR ON,DUC TILE IRON,DUC IRON,DUCTIL IRON,DUCTLE IRON,D-IR,D.I.,DUCT IR.,D-IRON.,D IRON,DI UNIT,DUCT IR PIECE,DUCTILE ITEM,,,,,,,,,,,,,,,,,
