primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22,permutation_23,permutation_24,permutation_25,permutation_26,permutation_27,permutation_28,permutation_29,permutation_30,permutation_31,permutation_32,permutation_33,permutation_34,permutation_35,permutation_36,permutation_37
SCHEDULE 5S,5S,SCH 5S,S5,SCH5S,SCHED5S,SCH-5S,5SS,SCHED 5-S,SCHED 5S,SCH. 5S,5-S,S-5S,S.5.S,SCHED-5S,SCHD 5S,SCHEDUAL 5S,SCH 5 S,SCHEDULE5S,SCHDL 5S,SCHED FVS,SCHEDLE 5S,S5S,5/S,SCH5/S,SCHD5S,SCHED5-S,S-FIVE-S,SKED 5S,5S,SCHEDULE FIVE S,SCHED FIVE S,THIN WALL,LIGHT WALL,THN WALL,SCHED LIGHT,S/5S,5S
SCHEDULE 5,5,SCH 5,S5,SCHED5,SCH5,SCHDL5,SCH. 5,SCH-5,S-5,S.5,SCHD5,SCHED 5,SCHEDL 5,SCH 05,SCHED-05,SCHEDULE05,S/5,SC5,S-5,SCH-05,SCHED.5,SCHEDULE FIVE,SCH FIVE,SCHED-5,SCHEDULE-5,SCH 5.0,,,,,,,,,,,
10,SCHEDULE 10S,10S,SCH 10S,S10S,SCHED10S,SCH10S,SCHDL10S,10S,SCH. 10S,SCH-10S,S-10S,S.10S,SCHD10S,10-S,SCHED 10S,SCHEDL 10S,SCH 010S,SCHED-010S,SCHEDULE010S,SCHED10-S,S/10S,SC10S,S-10-S,SCH-10-S,SCHED.10.S,10.S,SCHEDULE TEN S,SCH TEN S,SCHED-10S,SCHEDULE-10S,SCH 10 S,SCHEDULE10-S,,,,,
SCHEDULE 10,10,SCH 10,S10,SCHED10,SCH10,SCHDL10,SCH. 10,SCH-10,S-10,S.10,SCHD10,S/10,SC10,SCHEDULE TEN,SCH TEN,SCHED-10,SCHEDULE-10,SCH 10,SCHEDULE10,,,,,,,,,,,,,,,,,,
SCHEDULE 20,20,SCH 20,S20,SCHED20,SCH20,SCHDL20,SCH. 20,SCH-20,S-20,S.20,SCHD20,S/20,SC20,SCHEDULE TWENTY,SCH TWENTY,SCHED-20,SCHEDULE-20,SCH 20,SCHEDULE20,,,,,,,,,,,,,,,,,,
SCHEDULE 30,30,SCH 30,S30,SCHED30,SCH30,SCHDL30,SCH. 30,SCH-30,S-30,S.30,SCHD30,SCHED 30,SCHEDL 30,S/30,SC30,SCHEDULE THIRTY,SCH THIRTY,SCHED-30,SCHEDULE-30,SCH 30,SCHEDULE30,,,,,,,,,,,,,,,,
STD SCHEDULE,STD,STD SCH,SCH STD,SCHED STD,SCH-STD,STD.SCH,SCHED.STD,STD SCH.,STD-SCH,STD SCH-,STD SCHED,STD-SCHEDULE,STD SCHED.,ST D SCHEDULE,STD SCHDULE,STAND SCHEDULE,STND SCHEDULE,STAND. SCHEDULE,ST. D SCHEDULE,S/STD,SC STD,S-STD,SCH-STD,STD-S,S/STANDARD,STANDARD SCHEDULE,STD SCHEDULED,STANDARD SCH,STANDARD PIPE SCHEDULE,STANDARD PIPE,SCH STANDARD,STANDARD WALL,STD WALL,S/STD,,,
SCHEDULE 40S,40S,SCH 40S,S40S,SCHED40S,SCH40S,SCHDL40S,40S,SCH. 40S,SCH-40S,S-40S,S.40S,SCHD40S,40-S,SCHED 40S,SCHEDL 40S,SCH 040S,SCHED-040S,SCHEDULE040S,SCHED40-S,S/40S,SC40S,S-40-S,SCH-40-S,SCHED.40.S,40.S,SCHEDULE FORTY S,SCH FORTY S,SCHED-40S,SCHEDULE-40S,SCH 40 S,SCHEDULE40-S,,,,,,
SCHEDULE 60,60,SCH 60,S60,SCHED60,SCH60,SCHDL60,SCH. 60,SCH-60,S-60,S.60,SCHD60,60-S,SCHED 60,SCHEDL 60,SCH 060,SCHED-060,SCHEDULE060,SCHED60-S,S/60,SC60,S-60-S,SCH-60-S,SCHED.60.S,60.S,SCHEDULE SIXTY,SCH SIXTY,SCHED-60,SCHEDULE-60,SCH 60,SCHEDULE60,,,,,,,
SCHEDULE 80S,80S,SCH 80S,S80S,SCHED80S,SCH80S,SCHDL80S,80S,SCH. 80S,SCH-80S,S-80S,S.80S,SCHD80S,80-S,SCHED 80S,SCHEDL 80S,SCH 080S,SCHED-080S,SCHEDULE080S,SCHED80-S,S/80S,SC80S,S-80-S,SCH-80-S,SCHED.80.S,80.S,SCHEDULE EIGHTY S,SCH EIGHTY S,SCHED-80S,SCHEDULE-80S,SCH 80 S,SCHEDULE80-S,,,,,,
SCHEDULE XH,XH,SCH XH,SXH,SCHEDXH,SCHXH,SCHDLXH,XH,SCH. XH,SCH-XH,S-XH,S.XH,SCHDXH,X-H,SCHED XH,SCHEDL XH,SCH 0XH,SCHED-XH,SCHEDULE0XH,SCHEDX-H,S/XH,SCXH,S-X-H,SCH-X-H,SCHED.X.H,XH.,EXTRA HEAVY SCHEDULE,EXTRA HEAVY,SCHEDULE EXTRA HEAVY,SCHEDULE-XH,SCH X H,SCHEDULEX-H,,,,,,
SCHEDULE 80,80,SCH 80,S80,SCHED80,SCH80,SCHDL80,SCH. 80,SCH-80,S-80,S.80,SCHD80,SCHED 80,SCHEDL 80,S/80,SC80,SCHEDULE EIGHTY,SCH EIGHTY,SCHED-80,SCHEDULE-80,SCHEDULE80,,,,,,,,,,,,,,,,,
EXTRA HEAVY, 80/XH, SCHEDULE 80 XH, SCH 80XH, SCHED80XH, SCH. 80XH, S-80 XH, S/80 XH, XH 80, XH SC80,,,,
SCHEDULE 100,100,SCH 100,S100,SCHED100,SCH100,SCHDL100,SCH. 100,SCH-100,S-100,S.100,SCHD100,SCHED 100,SCHEDL 100,SCH 0100,SCHED-0100,SCHEDULE0100,S/100,SC100,SCHEDULE ONE HUNDRED,SCH ONE HUNDRED,SCHED-100,SCHEDULE-100,SCH 100,SCHEDULE100,,,,,,,,,,,,,
SCHEDULE 120,120,SCH 120,S120,SCHED120,SCH120,SCHDL120,SCH. 120,SCH-120,S-120,S.120,SCHD120,SCHED 120,SCHEDL 120,S/120,SC120,SCHEDULE ONE TWENTY,SCH ONE TWENTY,SCHED-120,SCHEDULE-120,SCH 120,SCHEDULE120,,,,,,,,,,,,,,,,
SCHEDULE 140,140,SCH 140,S140,SCHED140,SCH140,SCHDL140,SCH. 140,SCH-140,S-140,S.140,SCHD140,SCHED 140,SCHEDL 140,S/140,SC140,SCHEDULE ONE FORTY,SCH ONE FORTY,SCHED-140,SCHEDULE-140,SCH 140,SCHEDULE140,,,,,,,,,,,,,,,,
SCHEDULE 160,160,SCH 160,S160,SCHED160,SCH160,SCHDL160,SCH. 160,SCH-160,S-160,S.160,SCHD160,SCHED 160,SCHEDL 160,S/160,SC160,SCHEDULE ONE SIXTY,SCH ONE SIXTY,SCHED-160,SCHEDULE-160,SCH 160,SCHEDULE160,,,,,,,,,,,,,,,,
SCHEDULE XXH,XXH,SCH XXH,SXXH,SCHEDXXH,SCHXXH,SCHDLXXH,XXH,SCH. XXH,SCH-XXH,S-XXH,S.XXH,SCHDXXH,XX-H,SCHED XXH,SCHEDL XXH,SCH 0XXH,SCHED-XXH,SCHEDULE0XXH,SCHEDXX-H,S/XXH,SCXXH,S-XX-H,SCH-XX-H,SCHED.XX.H,XX.H,DOUBLE EXTRA HEAVY,SCH DOUBLE EXTRA HEAVY,SCHEDULE DOUBLE EXTRA H,SCHEDULE-XXH,SCH XX H,DOUBLE EXTRA HEAVY PIPE,,,,,,
SDR17,SDR 17,SDR-17,SDR.17,SDR17,S.D.R.17,S-D-R-17,STANDARD DIMENSION RATIO 17,STD DIM RATIO 17,SDR-SEVENTEEN,SDR 17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDR17,DR17,SDR-17,DR-17,SDR 17,DR 17,S.D.R.17,D.R.17,SDR.17,DR.17,STANDARD DIMENSION RATIO 17,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDR9,SDR 9,SDR-9,SDR.9,SDR_9,S.D.R.9,S-D-R-9,S.D.R 9,SD R9,SDR NINE,STANDARD DIMENSION RATIO 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP,PP,POLYPROPYLENE,POLY PROPYLENE,POLY-PROPYLENE,PPE,P.P,P-P,P/P,POLY P,POLYPROP,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANDARD,STD,STANDARD WALL,STD WALL,STAND,STND,STANDRD,STNDRD,STD.,STAND.,STANDARD SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEDULE 40,40,SCH 40,S40,SCHED40,SCH-40,SCHDL40,SCHEDULE FORTY,SCH FORTY,STD,STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPS,I.P.S.,I.P.S,I P S,IRON PIPE SIZE,IRONPIPESIZE,IRON-PIPE-SIZE,IRON.PIPE.SIZE,IRON PIPE SZ,IRON-PIPE,IRON PIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEDULE SP114,SP114,SCH SP114,SCHED SP114,SP-114,SCH SP-114,SCHEDULE SP-114,SP.114,SCH SP.114,SPECIAL 114,SPECIAL SCHEDULE 114,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEDULE SDR13.5,SDR13.5,SDR 13.5,SDR-13.5,SDR.13.5,S.D.R.13.5,S-D-R-13.5,STANDARD DIMENSION RATIO 13.5,STD DIM RATIO 13.5,SDR 13.5 SCHEDULE,SCHED SDR13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEDULE,SCH,SCHED,SCHD,SCHDL,SCHEDL,SCHEDULE-,SCH.,SCHED.,SCHEDULED,SCHEDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR9,DR-9,DR 9,D.R.9,DR.9,D.R. 9,DR_9,D R 9,DIMENSION RATIO 9,DIM RATIO 9,D/R/9,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDR7,SDR 7,SDR-7,SDR.7,SDR7.0,SDR 7.0,SDR-7.0,STANDARD DIMENSION RATIO 7,STD DIMENSION RATIO 7,SDR SEVEN,SDR-SEVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR11,DR 11,DR-11,DR.11,D.R.11,D R 11,DIMENSION RATIO 11,DIMENSION-RATIO-11,DIM RATIO 11,D/R 11,DR ELEVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
