Primary Term,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0 IN,0 IN ,"0""X0""X0""",0.0,0IN,0.0X0.0X0.0,0X0X0 ,0INX0INX0IN,"0"" ",0 ,0IN ,0.0 ,0 INX0 INX0 IN,0,"0""",0X0X0,,,,,,,,,,
1/8X1/8X1/8,1/8,"1/8""X1/8""X1/8""", 1/8,1/8 IN ,0.1 ,0.125X0.125X0.125,0.1,1/8X1/8X1/8 ,1/8IN ,"1/8"" ",0.125 ,"1/8""",1/8INX1/8INX1/8IN,0.1X0.1X0.1,1/8IN,1/8 ,1/8 IN,0.125,1/8 INX1/8 INX1/8 IN,,,,,,
0.125 IN,1/8X1/8X1/8,1/8,0.125 INX0.125 INX0.125 IN,0.125INX0.125INX0.125IN,"0.125""","0.125""X0.125""X0.125""", 1/8,0.1 ,0.125X0.125X0.125,0.125IN ,0.1,0.125X0.125X0.125 ,0.125 ,0.1X0.1X0.1,1/8 ,0.125IN,0.125 IN ,0.125,"0.125"" ",,,,,,
1/4 INX1/4 INX1/4 IN,0.2 , 1/4,1/4INX1/4INX1/4IN,1/4 ,"1/4"" ","1/4""","1/4""X1/4""X1/4""",0.25 ,0.25X0.25X0.25,0.25,1/4X1/4X1/4,1/4 IN ,1/4IN,1/4X1/4X1/4 ,1/4 IN,0.2X0.2X0.2,1/4IN ,0.2,1/4,,,,,,
"0.25"" ",0.25INX0.25INX0.25IN,0.25 IN,0.25IN ,0.25X0.25X0.25 ,0.2 ,0.25 INX0.25 INX0.25 IN,"0.25""",0.25IN, 1/4,1/4 ,0.25 IN ,0.25 ,0.25X0.25X0.25,0.25,1/4X1/4X1/4,"0.25""X0.25""X0.25""",0.2X0.2X0.2,0.2,1/4,,,,,,
0.375IN ,0.375 IN ,3/8 ,0.4,0.4X0.4X0.4,0.375 IN,0.375X0.375X0.375,"0.375"" ",0.375 INX0.375 INX0.375 IN,0.375 ,"0.375""X0.375""X0.375""",3/8X3/8X3/8,"0.375""",0.4 ,0.375INX0.375INX0.375IN,0.375,0.375IN,0.375X0.375X0.375 , 3/8,3/8,,,,,,
3/8IN,3/8 ,0.4,3/8 IN,0.4X0.4X0.4,3/8INX3/8INX3/8IN,0.375X0.375X0.375,"3/8""",3/8IN ,3/8X3/8X3/8 ,0.375 ,3/8X3/8X3/8,"3/8""X3/8""X3/8""",0.4 ,3/8 INX3/8 INX3/8 IN,3/8 IN ,0.375,"3/8"" ", 3/8,3/8,,,,,,
1/2 ,"0.5""",0.5 IN, 1/2,0.5IN,0.5,0.5X0.5X0.5,0.5 IN ,0.5INX0.5INX0.5IN,0.5 INX0.5 INX0.5 IN,1/2X1/2X1/2,0.5 ,"0.5""X0.5""X0.5""",0.5X0.5X0.5 ,1/2,"0.5"" ",0.5IN ,,,,,,,,,
1/2 , 1/2,"1/2"" ",1/2 IN ,0.5,0.5X0.5X0.5,1/2X1/2X1/2 ,1/2 INX1/2 INX1/2 IN,1/2INX1/2INX1/2IN,1/2 IN,"1/2""X1/2""X1/2""",1/2X1/2X1/2,1/2IN ,0.5 ,1/2IN,1/2,"1/2""",,,,,,,,,
5/8,0.6 ,0.625IN ,0.625 IN,0.6,5/8 ,"0.625""X0.625""X0.625""",5/8,0.6X0.6X0.6,0.625 INX0.625 INX0.625 IN,0.625,0.625X0.625X0.625,"0.625"" ",0.625 ,0.625X0.625X0.625 ,0.625INX0.625INX0.625IN,"0.625""",0.625 IN ,5/8X5/8X5/8,0.625IN,,,,,,
5/8,5/8 INX5/8 INX5/8 IN,0.6 ,0.6,5/8 ,5/8X5/8X5/8 ,5/8,5/8IN,0.6X0.6X0.6,5/8INX5/8INX5/8IN,0.625,0.625X0.625X0.625,"5/8""","5/8"" ",0.625 ,5/8 IN ,5/8 IN,5/8X5/8X5/8,5/8IN ,"5/8""X5/8""X5/8""",,,,,,
