Primary Term,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
90 DEGREE ELBOW,ELBOW 90 DEGREE LR,ELBOW 90,90,90°,LR 90,LR 90°,LONG RADIUS 90,LONG RADIUS 90°,90 ELL,90° ELL,90ELL,ELL 90,ELL 90°,ELL90,ELL90°,,,,,,,
90 DEGREE SR ELBOW,SR90,SR90°,SR 90,SR 90°,SHORT RADIUS 90   ,SHORT RADIUS 90°,90SR,90°SR,90 SR,90° SR,,,,,,,,,,,,
45 DEGREE ELBOW,45,45°,LR 45,LR 45°,LONG RADIUS 45,LONG RADIUS 45°,45 ELL,45° ELL,45ELL,ELL 45,ELL 45°,ELL45,ELL45°,,,,,,,,,
45 DEGREE SHORT RADIUS ELBOW,SR45,SR45°,SR 45,SR 45°,SHORT RADIUS 45   ,SHORT RADIUS 45°,45SR,45°SR,45 SR,45° SR,,,,,,,,,,,,
180 DEGREE ELBOW,180 DEG ELL,180° DEG ELL,180ELL,180° ELL,180 ELL,,,,,,,,,,,,,,,,,
TEE,T,,,,,,,,,,,,,,,,,,,,,
LONG RADIUS ELBOW 90,LR 90,90 LRE,,,,,,,,,,,,,,,,,,,,
REDUCING TEE,REDUCING T,RED TEE,RED T,,,,,,,,,,,,,,,,,,,
HALF COUPLING,HALF COUPLING,HALF CPLG,HALF CPL,1/2 COUPLING,1/2 CPLG,1/2 CPL ,HLF COUPLING,HLF CPLG,HLF CPL ,,,,,,,,,,,,,
BRANCH TEE,BRTEE,BR TEE,,,,,,,,,,,,,,,,,,,,
COUPLING,COUPLING,CPLG,CPL ,,,,,,,,,,,,,,,,,,,
COMPRESSION COUPLING,COMP CPLG,CCPL,C-CPLG,C/CPL,,,,,,,,,,,,,,,,,,
ECCENTRIC REDUCER,ECC RED,ECCRED,ECC R,ECC REDUC,ECCENTRIC RED,ECCENTRIC RDCR,ECC RDCR,,,,,,,,,,,,,,,
CONCENTRIC REDUCER,CONCENTRIC RED,CONCENTRIC RDCR,CONC REDUCER,CONC RED,CONC RDCR,CR,CNC REDUCER,CNC RED ,CNC RDCR,,,,,,,,,,,,,
REDUCER,REDUCING COUPLING,RDCR,RED CPL,RED CPLG,RED-CPL,R CPLG,REDCPL,R-C,RED-C,REDCOUP,RCPLG,RED CP,RED C,R COUP,,,,,,,,
CAP,CAP,,,,,,,,,,,,,,,,,,,,,
UNION,UNION,,,,,,,,,,,,,,,,,,,,,
CROSS,CRSS,X,CRS,,,,,,,,,,,,,,,,,,,
WELD NECK,WELDNECK,WLDNCK,WN,W/N,WELD NECK FLANGE,WELDNECK FLANGE,WLDNECK FLANGE,WLD NECK FLANGE,WN FLANGE,WN FLG,WELD NECK FLANGE,WELDNECK FLANGE,WLDNECK FLANGE,WLD NECK FLANGE,,,,,,,,
RAISED FACE WELD NECK FLANGE,RAISED FACE WELD NECK FLG,RAISED FACE WELD NECK,RAISED FACE WN FLANGE,RAISED FACE WN FLG,RAISED FACE WN ,RF WELD NECK FLANGE,RF WELD NECK FLG,RF WELD NECK,RF WN FLANGE,RF WN FLG,RF WN,,,,,,,,,,,
FLAT FACE WELD NECK FLANGE,FLAT FACE WELD NECK FLG,FLAT FACE WELD NECK,FLAT FACE WN FLANGE,FLAT FACE WN FLG,FLAT FACE WN ,FF WELD NECK FLANGE,FF WELD NECK FLG,FF WELD NECK,FF WN FLANGE,FF WN FLG,FF WN,,,,,,,,,,,
RING TYPE JOINT WELD NECK FLANGE,RING TYPE JOINT WELD NECK FLG,RING TYPE JOINT WELD NECK,RING TYPE JOINT WN FLANGE,RING TYPE JOINT WN FLG,RING TYPE JOINT WN ,RTJ WELD NECK FLANGE,RTJ WELD NECK FLG,RTJ WELD NECK,RTJ WN FLANGE,RTJ WN FLG,RTJ WN,,,,,,,,,,,
SLIP ON,SLIPON,SO,S/O,SLIP ON FLANGE,SLIPON FLANGE,SO FLANGE,S/O FLANGE,SLIP ON FLG,SLIPON FLG,SLIP ON FLANGE,SLIPON FLANGE,SO FLG,S/O FLG,,,,,,,,,
RAISED FACE SLIP ON FLANGE,RAISED FACE SLIP ON FLG,RAISED FACE SLIP ON,RAISED FACE SO FLANGE,RAISED FACE SO FLG,RAISED FACE SO ,RF SLIP ON FLANGE,RF SLIP ON FLG,RF SLIP ON,RF SO FLANGE,RF SO FLG,RF SO,,,,,,,,,,,
FLAT FACE SLIP ON FLANGE,FLAT FACE SLIP ON FLG,FLAT FACE SLIP ON,FLAT FACE SO FLANGE,FLAT FACE SO FLG,FLAT FACE SO ,FF SLIP ON FLANGE,FF SLIP ON FLG,FF SLIP ON,FF SO FLANGE,FF SO FLG,FF SO,,,,,,,,,,,
RING TYPE JOINT SLIP ON FLANGE,RING TYPE JOINT SLIP ON FLG,RING TYPE JOINT SLIP ON,RING TYPE JOINT SO FLANGE,RING TYPE JOINT SO FLG,RING TYPE JOINT SO ,RTJ SLIP ON FLANGE,RTJ SLIP ON FLG,RTJ SLIP ON,RTJ SO FLANGE,RTJ SO FLG,RTJ SO,,,,,,,,,,,
SOCKET WELD FLANGE,SOCKETWELD FLANGE,SOCKET WELD,SOCKET WLD,SKT WELD,SKT WLD,SW,S/W,SOCKET WELD FLG,SOCKET WLD FLG,SKT WELD FLG,SKT WLD FLG,SW FLG,S/W FLG,SOCKET WELD FLANGE,SOCKET WLD FLANGE,SKT WELD FLANGE,SKT WLD FLANGE,SW FLANGE,S/W FLANGE,,,
RAISED FACE SOCKET WELD FLANGE,RAISED FACE SOCKET WELD FLG,RAISED FACE SOCKET WELD,RAISED FACE SW FLANGE,RAISED FACE SW FLG,RAISED FACE SW ,RF SOCKET WELD FLANGE,RF SOCKET WELD FLG,RF SOCKET WELD,RF SW FLANGE,RF SW FLG,RF SW,,,,,,,,,,,
FLAT FACE SOCKET WELD FLANGE,FLAT FACE SOCKET WELD FLG,FLAT FACE SOCKET WELD,FLAT FACE SW FLANGE,FLAT FACE SW FLG,FLAT FACE SW ,FF SOCKET WELD FLANGE,FF SOCKET WELD FLG,FF SOCKET WELD,FF SW FLANGE,FF SW FLG,FF SW,,,,,,,,,,,
RING TYPE JOINT SOCKET WELD FLANGE,RING TYPE JOINT SOCKET WELD FLG,RING TYPE JOINT SOCKET WELD,RING TYPE JOINT SW FLANGE,RING TYPE JOINT SW FLG,RING TYPE JOINT SW ,RTJ SOCKET WELD FLANGE,RTJ SOCKET WELD FLG,RTJ SOCKET WELD,RTJ SW FLANGE,RTJ SW FLG,RTJ SW,,,,,,,,,,,
BLIND FLANGE,BLIND,BLND,BL,BLIND FLG,BLND FLG,BL FLG,BLIND FLANGE,BLND FLANGE,BL FLANGE,,,,,,,,,,,,,
RAISED FACE BLIND FLANGE,RAISED FACE BLIND FLG,RAISED FACE BLIND,RAISED FACE BL FLANGE,RAISED FACE BL FLG,RAISED FACE BL ,RF BLIND FLANGE,RF BLIND FLG,RF BLIND,RF BL FLANGE,RF BL FLG,RF BL,,,,,,,,,,,
FLAT FACE BLIND FLANGE,FLAT FACE BLIND FLG,FLAT FACE BLIND,FLAT FACE BL FLANGE,FLAT FACE BL FLG,FLAT FACE BL ,FF BLIND FLANGE,FF BLIND FLG,FF BLIND,FF BL FLANGE,FF BL FLG,FF BL,,,,,,,,,,,
RING TYPE JOINT BLIND FLANGE,RING TYPE JOINT BLIND FLG,RING TYPE JOINT BLIND,RING TYPE JOINT BL FLANGE,RING TYPE JOINT BL FLG,RING TYPE JOINT BL ,RTJ BLIND FLANGE,RTJ BLIND FLG,RTJ BLIND,RTJ BL FLANGE,RTJ BL FLG,RTJ BL,,,,,,,,,,,
THREADED FLANGE,THREADED FLANGE,THD FLANGE,,,,,,,,,,,,,,,,,,,,
RAISED FACE THREADED FLANGE,RAISED FACE THREADED FLG,RAISED FACE THREADED,RAISED FACE THD FLANGE,RAISED FACE THD FLG,RAISED FACE THD ,RF THREADED FLANGE,RF THREADED FLG,RF THREADED,RF THD FLANGE,RF THD FLG,RF THD,,,,,,,,,,,
FLAT FACE THREADED FLANGE,FLAT FACE THREADED FLG,FLAT FACE THREADED,FLAT FACE THD FLANGE,FLAT FACE THD FLG,FLAT FACE THD ,FF THREADED FLANGE,FF THREADED FLG,FF THREADED,FF THD FLANGE,FF THD FLG,FF THD,,,,,,,,,,,
RING TYPE JOINT THREADED FLANGE,RING TYPE JOINT THREADED FLG,RING TYPE JOINT THREADED,RING TYPE JOINT THD FLANGE,RING TYPE JOINT THD FLG,RING TYPE JOINT THD ,RTJ THREADED FLANGE,RTJ THREADED FLG,RTJ THREADED,RTJ THD FLANGE,RTJ THD FLG,RTJ THD,,,,,,,,,,,
LAP JOINT FLANGE,LJ,LAP JOINT,,,,,,,,,,,,,,,,,,,,
RING TYPE JOINT FLANGE,RTJ FLANGE,RTJ FLG,RTJF,,,,,,,,,,,,,,,,,,,
RAISED FACE FLANGE,RAISED FACE FLANGE,RAISED FACE FLG,RF FLANGE,RF FLG,RF FL,,,,,,,,,,,,,,,,,
SPIRAL WOUND GASKET,SWG,SPWD,SWGSK,SPIRALW,SPW GSK,SPWG,SPIRG,SPRGSK,SWDG,SPWND,,,,,,,,,,,,
RING GASKET,RNG GSK,RGK,RNGGSK,,,,,,,,,,,,,,,,,,,
FULL FACE GASKET,FFGSK,FF GSK,FULL GSKT,,,,,,,,,,,,,,,,,,,
FLANGE INSULATION GASKET,INSUL GSK,INSGSK,INS GSK,,,,,,,,,,,,,,,,,,,
