,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
0,90 DEGREE ELBOW,ELBOW 90 DEGREE LR,ELBOW 90,90,90°,LR 90,LR 90°,LONG RADIUS 90,LONG RADIUS 90°,90 ELL,90° ELL,90ELL,ELL 90,ELL 90°,ELL90,ELL90°,,,,,,,
1,90 DEGREE SR ELBOW,SR90,SR90°,SR 90,SR 90°,SHORT RADIUS 90   ,SHORT RADIUS 90°,90SR,90°SR,90 SR,90° SR,,,,,,,,,,,,
2,45 DEGREE ELBOW,45,45°,LR 45,LR 45°,LONG RADIUS 45,LONG RADIUS 45°,45 ELL,45° ELL,45ELL,ELL 45,ELL 45°,ELL45,ELL45°,,,,,,,,,
3,45 DEGREE SHORT RADIUS ELBOW,SR45,SR45°,SR 45,SR 45°,SHORT RADIUS 45   ,SHORT RADIUS 45°,45SR,45°SR,45 SR,45° SR,,,,,,,,,,,,
4,180 DEGREE ELBOW,180 DEG ELL,180° DEG ELL,180ELL,180° ELL,180 ELL,,,,,,,,,,,,,,,,,
5,TEE,T,,,,,,,,,,,,,,,,,,,,,
6,LONG RADIUS ELBOW 90,LR 90,90 LRE,,,,,,,,,,,,,,,,,,,,
7,REDUCING TEE,REDUCING T,RED TEE,RED T,,,,,,,,,,,,,,,,,,,
8,HALF COUPLING,HALF COUPLING,HALF CPLG,HALF CPL,1/2 COUPLING,1/2 CPLG,1/2 CPL ,HLF COUPLING,HLF CPLG,HLF CPL ,,,,,,,,,,,,,
9,BRANCH TEE,BRTEE,BR TEE,,,,,,,,,,,,,,,,,,,,
10,COUPLING,COUPLING,CPLG,CPL ,,,,,,,,,,,,,,,,,,,
11,COMPRESSION COUPLING,COMP CPLG,CCPL,C-CPLG,C/CPL,,,,,,,,,,,,,,,,,,
12,ECCENTRIC REDUCER,ECC RED,ECCRED,ECC R,ECC REDUC,ECCENTRIC RED,ECCENTRIC RDCR,ECC RDCR,,,,,,,,,,,,,,,
13,CONCENTRIC REDUCER,CONCENTRIC RED,CONCENTRIC RDCR,CONC REDUCER,CONC RED,CONC RDCR,CR,CNC REDUCER,CNC RED ,CNC RDCR,,,,,,,,,,,,,
14,REDUCER,REDUCING COUPLING,RDCR,RED CPL,RED CPLG,RED-CPL,R CPLG,REDCPL,R-C,RED-C,REDCOUP,RCPLG,RED CP,RED C,R COUP,,,,,,,,
15,CAP,CAP,,,,,,,,,,,,,,,,,,,,,
16,UNION,UNION,,,,,,,,,,,,,,,,,,,,,
17,CROSS,CRSS,X,CRS,,,,,,,,,,,,,,,,,,,
18,WELD NECK,WELDNECK,WLDNCK,WN,W/N,WELD NECK FLANGE,WELDNECK FLANGE,WLDNECK FLANGE,WLD NECK FLANGE,WN FLANGE,WN FLG,WELD NECK FLANGE,WELDNECK FLANGE,WLDNECK FLANGE,WLD NECK FLANGE,,,,,,,,
19,RAISED FACE WELD NECK FLANGE,RAISED FACE WELD NECK FLG,RAISED FACE WELD NECK,RAISED FACE WN FLANGE,RAISED FACE WN FLG,RAISED FACE WN ,RF WELD NECK FLANGE,RF WELD NECK FLG,RF WELD NECK,RF WN FLANGE,RF WN FLG,RF WN,,,,,,,,,,,
20,FLAT FACE WELD NECK FLANGE,FLAT FACE WELD NECK FLG,FLAT FACE WELD NECK,FLAT FACE WN FLANGE,FLAT FACE WN FLG,FLAT FACE WN ,FF WELD NECK FLANGE,FF WELD NECK FLG,FF WELD NECK,FF WN FLANGE,FF WN FLG,FF WN,,,,,,,,,,,
21,RING TYPE JOINT WELD NECK FLANGE,RING TYPE JOINT WELD NECK FLG,RING TYPE JOINT WELD NECK,RING TYPE JOINT WN FLANGE,RING TYPE JOINT WN FLG,RING TYPE JOINT WN ,RTJ WELD NECK FLANGE,RTJ WELD NECK FLG,RTJ WELD NECK,RTJ WN FLANGE,RTJ WN FLG,RTJ WN,,,,,,,,,,,
22,SLIP ON,SLIPON,SO,S/O,SLIP ON FLANGE,SLIPON FLANGE,SO FLANGE,S/O FLANGE,SLIP ON FLG,SLIPON FLG,SLIP ON FLANGE,SLIPON FLANGE,SO FLG,S/O FLG,,,,,,,,,
23,RAISED FACE SLIP ON FLANGE,RAISED FACE SLIP ON FLG,RAISED FACE SLIP ON,RAISED FACE SO FLANGE,RAISED FACE SO FLG,RAISED FACE SO ,RF SLIP ON FLANGE,RF SLIP ON FLG,RF SLIP ON,RF SO FLANGE,RF SO FLG,RF SO,,,,,,,,,,,
24,FLAT FACE SLIP ON FLANGE,FLAT FACE SLIP ON FLG,FLAT FACE SLIP ON,FLAT FACE SO FLANGE,FLAT FACE SO FLG,FLAT FACE SO ,FF SLIP ON FLANGE,FF SLIP ON FLG,FF SLIP ON,FF SO FLANGE,FF SO FLG,FF SO,,,,,,,,,,,
