,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
0,PTFE,POLYTETRAFLUOROETHYLENE,TEFLON,P.T.F.E.,PTF-E,POLY-TFE,PTFE MATERIAL,TEFLON MATERIAL,P-TFE,PT-FE,POLY TFE
1,NAN,NOT A NUMBER,N/A,NA,N.A.,NOT APPLICABLE,NOT_APPLICABLE,NOT-APPLICABLE,NOT.APPLICABLE,NOT_A_NUMBER,NOT-A-NUMBER
2,IRON,FE,IRN,I-RON,IR.,I R,IR-ON,I.R.,IORN,IRON METAL,IR METAL
3,GALVANIZED,GALV,G.I.,GI,GALV.,GAL,GALVANISED,G.I.PIPE,GALV STEEL,GALVD,GALVANIZE
4,304,304SS,304-SS,304 SS,304 STAINLESS,304 STAINLESS STEEL,TYPE 304,TYPE-304,304 S.S.,304.SS,SS304
5,316,316SS,316 SS,SS316,SS 316,TYPE 316,316 STAINLESS,316 S.S.,316 STAINLESS STEEL,GRADE 316,316-SS
6,304 STAINLESS STEEL,304SS,304 SS,304 S.S.,304 STAIN STL,TYPE 304 SS,304 STAINLESS,304 STN STL,304 STNLS,304 S/S,304-SS
7,316 STAINLESS STEEL,316SS,316 SS,316 S.S.,316 STAIN STL,316 STAINLESS,SS316,S.S.316,STAINLESS 316,TYPE 316 SS,GR 316 SS
8,ALUMINUM BRONZE,AL BRONZE,ALU BRNZ,AL-BRZ,ALUM-BRONZE,AL BRNZ,ALUMINUM-BRONZE,ALU-BRONZE,AL.BRONZE,ALBRZ,ALBRONZE
9,CAST STEEL,CS STL,CST STL,CAST-STL,C/STL,CAST STEL,CST STEEL,CAST-STEEL,CASTED STL,CASTED STEEL,C.S.T.
10,FIBERGLASS,FG,F.G.,FIBER GLASS,FIBER-GLASS,F G,FIBR GLAS,FBR GLS,FIBERGLAS,F-GLASS,FBERGLS
11,GARLOCK,GRL,GAR,GRLK,GAR-LOCK,G LOCK,GARR LOCK,GARLOK,GARRLOK,G-LOCK,G.LOCK
12,GRAPHOIL,GRAPHOIL,GRAFOIL,GRAPH OIL,GRAF OIL,GRAPHOYL,GRA FOIL,GRAPH FOIL,GRAPHITE OIL,GRPHL,GRFOIL
13,GYLON,GYL,GYLN,GY LON,GY-LON,G.Y.L.,GYLON SEAL,GYLON GASKET,GYLON MATERIAL,GYL-ON,G-LON
14,HASTELLOY,HASTELLOY C276,HAST C276,HC276,H-C276,HASTC276,HASTELLOY-C276,HAST-C276,HASTELOY C276,HASTALLOY C276,C276
15,L441,LINE 441,L-441,L.441,LINE-441,LN441,L 441,LINE.441,LN-441,LN.441,L_441
16,LOW RESIDUAL,LR,L.R.,LOW RES,LOW-RES,L RESIDUAL,LOW RESID,L-RES,LOW RSD,L.RESIDUAL,LOW-RESIDUAL
17,NEOPRENE,NEO,NPRN,NEO-PRENE,N.P.,NEOPR,NEO PRENE,N-PRN,NEOPRN,NEOP,NPRNE
18,NICKEL,NI,NCK,NICKL,N.I.,NIC,NICL,NK,NIKL,NICKLE,NI-METAL
19,NON-ASBESTOS,NON ASBESTOS,NA,N/A,NON-ASB,NON ASB,N-ASB,NONASB,NON_ASBESTOS,NONASBESTOS,N.A.
20,PFA,PERFLUOROALKOXY,P.F.A.,PER-F-A,PERF ALK,PERFLUORO ALKOXY,P F A,PERFLUORO-ALKOXY,PERF-ALKOXY,PERFLURO ALKOXY,PFALKOXY
