,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
0,SDR17,SDR 17,SDR-17,SDR.17,SDR17,S.D.R.17,S-D-R-17,STANDARD DIMENSION RATIO 17,STD DIM RATIO 17,SDR-SEVENTEEN,SDR 17.0
1,SDR11,SDR 11,SDR-11,SDR.11,SD11,SDR_11,S.D.R.11,S-D-R-11,STD DIMENSION RATIO 11,STANDARD DIMENSION RATIO 11,SDR ELEVEN
2,SDR17,DR17,SDR-17,DR-17,SDR 17,DR 17,S.D.R.17,D.R.17,SDR.17,DR.17,STANDARD DIMENSION RATIO 17
3,SDR9,SDR 9,SDR-9,SDR.9,SDR_9,S.D.R.9,S-D-R-9,S.D.R 9,SD R9,SDR NINE,STANDARD DIMENSION RATIO 9
4,PP,PP,POLYPROPYLENE,POLY PROPYLENE,POLY-PROPYLENE,PPE,P.P,P-P,P/P,POLY P,POLYPROP
5,STANDARD,STD,STANDARD WALL,STD WALL,STAND,STND,STANDRD,STNDRD,STD.,STAND.,STANDARD SCH
6,SCHEDULE 40,40,SCH 40,S40,SCHED40,SCH-40,SCHDL40,SCHEDULE FORTY,SCH FORTY,STD,STANDARD
7,IPS,I.P.S.,I.P.S,I P S,IRON PIPE SIZE,IRONPIPESIZE,IRON-PIPE-SIZE,IRON.PIPE.SIZE,IRON PIPE SZ,IRON-PIPE,IRON PIPE
8,SCHEDULE SP114,SP114,SCH SP114,SCHED SP114,SP-114,SCH SP-114,SCHEDULE SP-114,SP.114,SCH SP.114,SPECIAL 114,SPECIAL SCHEDULE 114
9,SCHEDULE SDR13.5,SDR13.5,SDR 13.5,SDR-13.5,SDR.13.5,S.D.R.13.5,S-D-R-13.5,STANDARD DIMENSION RATIO 13.5,STD DIM RATIO 13.5,SDR 13.5 SCHEDULE,SCHED SDR13.5
10,SCHEDULE,SCH,SCHED,SCHD,SCHDL,SCHEDL,SCHEDULE-,SCH.,SCHED.,SCHEDULED,SCHEDUAL
11,DR9,DR-9,DR 9,D.R.9,DR.9,D.R. 9,DR_9,D R 9,DIMENSION RATIO 9,DIM RATIO 9,D/R/9
12,SDR7,SDR 7,SDR-7,SDR.7,SDR7.0,SDR 7.0,SDR-7.0,STANDARD DIMENSION RATIO 7,STD DIMENSION RATIO 7,SDR SEVEN,SDR-SEVEN
13,DR11,DR 11,DR-11,DR.11,D.R.11,D R 11,DIMENSION RATIO 11,DIMENSION-RATIO-11,DIM RATIO 11,D/R 11,DR ELEVEN
14,SCHEDULE 2,2,SCH 2,S2,SCHED2,SCH-2,SCHDL2,SCH. 2,SCHEDULE TWO,S/2,SCH TWO
15,SCHEDULE BXS,BXS,SCH BXS,SCHED BXS,SCH-BXS,SCHED-BXS,BX-S,SCH BX-S,SCHEDULE-BXS,SCHEDULE BX-S,SCH. BXS
16,SCHEDULE 80,80,SCH 80,S80,SCHED80,SCH-80,SCH. 80,SCHEDULE EIGHTY,SCH EIGHTY,S/80,SC80
17,DR7,DR 7,DR-7,DR.7,D.R.7,D R 7,DIMENSION RATIO 7,DIM RATIO 7,D-R-7,DR SEVEN,DIMENSION RATIO SEVEN
18,SCHEDULE DR5,DR5,DR-5,DR 5,SCH DR5,SCHED DR5,SCHEDULE DR-5,DR.5,DR 5.0,DIMENSION RATIO 5,DIMENSIONAL RATIO 5
19,SCHEDULE EDR7,EDR7,SCH EDR7,SCHED EDR7,EDR-7,EDR 7,SCHEDULE EDR-7,SCH EDR-7,SCHED EDR-7,EXTRA DOUBLE REINFORCED 7,EXTRA DOUBLE REINFORCED SEVEN
