,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
0,EXPANSION JOINT,EXP JNT,EXP JOINT,EXP-JNT,EJ,EXPAN JT,EXPANSION JT,EXP. JOINT,EXPAN JOINT,E.J.,EXP-JOINT
1,MAIN VALVE,MN VLV,MAIN VLV,M VLV,M.V.,MV,MNVLV,M-VLV,MAIN V,M.VALVE,MN-VLV
2,GAUGE,GA,GG,GAGE,PRESSURE GAUGE,PRESSURE GAGE,PRESS GAUGE,PRESS GA,PR GA,PR GG,P GAUGE
3,HANDLE,HNDL,HDL,HANDL,HND,H/D,HNDLE,HDLE,H.D.L.,H.D.,H-D
4,RELIEF,RLF,RLF VLV,RELIEF VALVE,RELIEF VLV,RV,REL VLV,REL VALVE,RLF-VLV,REL-VLV,RELF
5,GROOVED COUPLING,GRV CPLG,GRVD CPLG,GRV COUPLING,GROOVE CPLG,GRVED CPLG,GRVD COUPLING,GRV-CPLG,GROOVE COUPLING,GRV CPL,GRVD CPL
6,STEAM TRAP,STM TRP,ST TRP,STM TRAP,ST TRAP,STMTRP,STTRP,S TRAP,STRP,STP,S.T.
7,FABRICATED PIPE,FAB PIPE,FABR PIPE,FABRICATED PP,FAB PP,FABR PP,FABRICATED PIPING,FAB PIPING,FABR PIPING,PIPE FAB,PP FAB
8,LR 90 DEGREE ELBOW,LR 90 ELL,LR 90° ELL,LR 90 ELBOW,LR 90° ELBOW,ELBOW LR 90,ELL LR 90,LONG RADIUS 90 ELBOW,LONG RADIUS 90° ELBOW,LR 90,90 LR ELBOW
9,PIPE,PIP,PIPING,LINE PIPE,TUBE,TUBING,P/P,P.P,PP,LN PIPE,PIPES
10,WYE LATERAL,WYE LAT,WYE,Y LATERAL,Y LAT,LATERAL WYE,LAT WYE,Y BRANCH,WYE BRANCH,Y-LAT,WYE-LAT
11,22-0.5 DEGREE ELBOW,22.5 DEG ELBOW,22.5° ELBOW,22.5 DEG ELL,22.5° ELL,22-1/2 DEG ELBOW,22-1/2° ELBOW,22-1/2 DEG ELL,22-1/2° ELL,ELBOW 22.5 DEG,ELL 22.5 DEG
12,BUTTERFLY,BFLY,BFV,BTFLY,B-FLY,BTRFLY,BUTTERFLY VLV,BUTTERFLY VALVE,B.F.V.,BFLY VLV,BFLY VALVE
13,FLANGE ADAPTER,FLG ADPTR,FL ADPTR,FLANGE ADPT,FLG ADAPTER,FL ADAPTER,FLANGE-ADAPTER,FLG-ADPTR,FLNG ADPTR,FLNG-ADPTR,FLNG ADAPTER
14,SADDLE,SDDL,SDL,SADL,SDL FTG,SADDLE FITTING,PIPE SADDLE,SADL FTG,SADDLE FTG,PPE SDL,PPE SADDLE
15,SWAGE REDUCER,SWAGE RED,SWGRED,SWG RED,SWAGE,SWG REDUCER,SWGR,SWAGE RDR,SWG RDR,SWAGE CONCENTRIC REDUCER,SWAGE ECCENTRIC REDUCER
16,FABRICATED,FAB,FABR,FABRICATE,FAB'D,FABBED,FABRICATION,FABR'D,FABRICATED,FABRCTN,FAB.
17,LR 90 ELBOW,LR 90 ELL,LR 90° ELL,LR 90 ELBOW,LR 90° ELBOW,ELBOW LR 90,ELL LR 90,90 LR ELBOW,90 LR ELL,LONG RADIUS 90 ELBOW,LONG RADIUS 90 ELL
18,PRESSURE GAUGE,PRES GAUGE,PRESS GAUGE,P GAUGE,PG,PRESS GA,P.G.,PRES GA,PRESSURE GA,PR GAUGE,PRESSURE GAGE
19,SWING CHECK,SWING CHK,SWG CHK,SWNG CHK,SW CHK,SWING CHECK VLV,SWG CHECK VLV,SWING CHK VLV,SWG CHK VLV,SW CHECK VALVE,SWING CHECK VALVE
20,GLOBE,GLB,GL,GLOB,GLB VLV,GL VLV,GLOBE VLV,GLOBE VALVE,GLB VALVE,GL VALVE,G.L.V
21,WYE STRAINER,Y STRAINER,Y-STRAINER,WYE-STRAINER,Y STR,WYE STR,Y-STR,WYE-STR,W.Y.E. STRAINER,Y.S.,W.S.
22,90 ELBOW,90 ELL,90° ELL,90 DEG ELL,90° ELBOW,90 DEG ELBOW,ELBOW 90,ELL 90,90 LR ELBOW,90 SR ELBOW,90 DEGREE ELBOW
