,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence,original_text
0,valve,check_valve,1.0,,,bronze,,,125,,,,,threaded,swing,,0.8,NP 1 BRZ 125# THRD SWG CHK VLV
1,fitting,elbow_90,1.5,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1 1/2"" ELBOW 90D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
2,flange,socket_weld,1.5,,,carbon_steel,A105,,150,extra_strong,,forged,flat_face,socket_weld,,ASME 16.5,0.9,"1 1/2"" FLANGE, FFSW, 150#, XS, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
3,flange,socket_weld,1.5,,,carbon_steel,A105,,600,extra_strong,,forged,raised_face,socket_weld,,ASME 16.5,0.9,"1 1/2"" FLANGE, RFSW, 600#, SCH.XS, ASME 16.5 FORGED STEEL, ASTM/ASME A/SA-105"
4,fitting,nipple,1.5,,,carbon_steel,A53,B,,extra_strong,,seamless,black,threaded,,toexpoe,0.8,"1 1/2"" NIPPLE, TOEXPOE, ASTM A53, GRADE B, CS BLK, SMLS, SCH XS"
5,pipe,erw_pipe,1.5,,,carbon_steel,A53,B,,extra_strong,,erw,black,,,,0.9,"1 1/2"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH XS"
6,fitting,tee,1.5,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1 1/2"" TEE, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
7,fitting,45_degree_elbow,1.5,,,carbon_steel,A105,,3000,,,forged,,socket_weld,trimmed,ASME 16.11,0.9,"1 1/2"" TRIMMED ELBOW 45D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000# (45.00)"
8,fitting,concentric_reducer,1.5,1.0,,carbon_steel,A106,B,,,,seamless,plain_end,,,ASME 16.11,0.9,"1 1/2""X1"" SWAGE, CONC, PBE, ASME 16.11, SMLS STEEL, ASTM/ASME A/SA-106-B"
9,fitting,45_degree_elbow,1.0,,,alloy_steel,A182,F11,3000,,,,,socket_weld,,class_2_uns_k11572,0.9,"1 45 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
10,fitting,45_degree_elbow,1.0,,,stainless_steel,A182,F316/F316L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1 45 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 316/F 316L"
11,fitting,45_degree_elbow,1.0,,,carbon_steel,A350,LF2,3000,,,,,socket_weld,,class_1,0.9,"1 45 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A350 GRADE LF2 CLASS 1"
12,fitting,90_degree_elbow,1.0,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1 90 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L"
13,fitting,90_degree_elbow,1.0,,,carbon_steel,A350,LF2,3000,,,,,socket_weld,,CLASS 1,0.9,"1 90 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A350 GRADE LF2 CLASS 1"
14,fitting,90_degree_elbow,1.0,,,alloy_steel,A182,F11_CL2,6000,,,,,socket_weld,,ASME B16.11,0.9,"1 90 DEGREE ELBOW , ASME B16.11 , CLASS 6000 , SOCKET WELDED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
15,fitting,long_radius_elbow_90,1.0,,,stainless_steel,A403,WP304/WP304L,,40S,,,beveled,BW,,ASME B16.9,0.9,"1 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S"
16,flange,blind,1.0,,,stainless_steel,A182,F316/F316L,150,,,,raised_face,flanged,,ASME B16.5,1.0,"1 BLIND FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 316/F 316L"
17,flange,blind,1.0,,,carbon_steel,A105,N,150,,,,raised_face,,,ASME B16.5,1.0,"1 BLIND FLANGE, ASME B16.5, CL150, RFFE, ASTM A105N"
18,flange,blind,1.0,,,carbon_steel,A105,N,300,,,,raised_face,,,ASME B16.5,1.0,"1 BLIND FLANGE, ASME B16.5, CL300, RFFE, ASTM A105N"
19,fitting,cap,1.0,,,stainless_steel,A182,F304/F304L,3000,,,,,threaded,,female,0.9,"1 CAP , ASME B16.11 , CLASS 3000 , FEMALE THREADED END , ASTM A182 GRADE F 304/F 304L"
20,fitting,coupling,1.0,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1 COUPLING / CONNECTOR , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L"
21,fitting,coupling,1.0,,,stainless_steel,A182,F316/F316L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1 COUPLING / CONNECTOR , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 316/F 316L"
22,valve,ball_valve,1.0,,,carbon_steel,,,2000,,,,,threaded,ll,1pc,0.8,1 CS 2000# THRD 1PC BV LL
23,pipe,seamless_pipe,1.0,,,carbon_steel,A106,B,,80,,seamless,plain_end,pe,,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A106-B , SEAMLESS S-80"
24,pipe,seamless_pipe,,,,carbon_steel,A106,B,,80,,seamless,plain_end,plain_end,,100% UT FOR PIPE,0.8,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A106-B , SMLS, 100% UT FOR PIPE S-80"
25,pipe,seamless_pipe,1.0,,,carbon_steel,A333,6,,160,,seamless,plain_end,pe,,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A333-6 , SEAMLESS S-160"
26,pipe,seamless_pipe,1.0,,,carbon_steel,A333,6,,80,,seamless,plain_end,,,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A333-6 , SEAMLESS S-80"
27,pipe,seamless,1.0,,,carbon_steel,A333,6,,standard,,seamless,plain_end,pe,,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A333-6 , SEAMLESS S-STD"
